,articles
10,"Traude Dierdorf (Austria, 17 November 1947 – Austria, 1 January 2021) was an Austrian politician.


== Biography ==
Traude Dierdorf was involved in the youth union of the SPÖ and became a staff representative in the town hall in Wiener Neustadt. In 1980 she was elected to the local council for the first time, was a city councilor and was promoted to vice mayor in 1993. In 1997 she was elected first mayor of Wiener Neustadt and remained so until 2005, when she resigned for health reasons.Dierdorf died on 1 January 2021, at the age of 73.


== References =="
11,"Muna Duzdar (born 22 August 1978)  is an Austrian politician. She was a State secretary in the Austrian Federal Chancellery from 2016 to 2017. When she was appointed on 17 May 2016 she became the first Muslim person to hold a post in the Austrian Federal government.


== Early life and education ==
Duzdar was raised in Donaustadt, a district of Vienna, as the daughter of Palestinian immigrants. She studied law at the University of Vienna followed by postgraduate Master studies in International law at the Sorbonne University. On 9 November 2011 she passed her bar exam and has been working as a lawyer since 2012.
During her studies she was working as law secretary at the Austrian Tenants' Association from 1999 to 2001. After that she worked for the Socialist Youth Austria as international secretary until 2004. This was followed by an internship at the European Parliament from 2004 to 2005. During her Master studies she worked as foreign language assistant in two Paris suburbs, Livry-Gargan and Clichy-sous-Bois from 2005 to 2006 and then in administrative positions at the Parti Socialiste in Paris.


== Career ==
Duzdar started her political career in 2001 when she became a district councillor for Donaustadt. In 2010 she was sworn in as a member of the Federal Council where she took on the responsibility of speaker for foreign policy for the Social Democratic Party. She was also a member of several committees within the Federal Council. On 18 November 2012 Duzdar left the Federal Council and switched to the Vienna, where she was sworn in on 19 November 2012 taking over Karin Schrödl's position.
Duzdar considers foreign policy, education, integration and housing as her main political focus areas.
On 17 May 2016 Muna Duzdar was appointed as state secretary in the Federal Chancellery by Chancellor Christian Kern, who himself had assumed that position on 9 May 2016 after his predecessor Werner Faymann had stepped down. Until 2017, she was responsible for ""Administration and Public Service"", as well as ""Diversity and Digitalization"". She was elected into the National Council for the Social Democratic Party in 2017, after she was discharged as State secretary by the newly elected ÖVP-FPÖ government.


== Personal life ==
Duzdar's parents are Palestinian immigrants. Her father was an employee of UNIDO, her mother was a housewife. She has five siblings and her native languages are German and Arabic. She describes herself as a non-practicing Muslima, which makes her the first member of the Austrian federal government that belongs to the Muslim faith.
Duzdar was also the president of the Palestinian-Austrian Association.


== References ==


== External links ==

Muna Duzdar at meineabgeordneten.at (in German)"
12,"Rosa Ecker (born 10 April 1969) is an Austrian politician who has been a Member of the Federal Council for the Freedom Party of Austria (FPÖ) since 2015.


== References =="
13,"Andrea Eder-Gitschthaler is an Austrian politician.  She is a member of the Federal Council of Austria and has served as President of the Federal Council since 2020.  She was the vice president of that house from January to June 2020.  Previously, she served as a member of the National Council from 2006 to 2008.  She is a member of the Austrian People's Party.  In 2019, she became the first woman to chair the parliamentary group of the People's Party.


== Biography ==
Eder-Gitschthaler was born in the town of Vöcklabruck in 1961. She attended local schools and graduated from the law faculty of the University of Salzburg in 1984.  After her legal training, she worked for the Asset Management Association, followed by an advertising agency. In 1991, she became the head of marketing for the Salzburg office of Uniqa Insurance Group. She became active in politics as a member of the municipal council of Wals-Siezenheim in 1999 and served on that body until 2014.  In 2006, she was elected to the National Council, the lower house of the Parliament of Austria. In 2008, the Austrian People's Party suffered one of its worst results ever in the election and she was denied re-election to the National Council.In 2017, she was elected to the Federal Council by the Landtag of Salzburg.  The People's Party named her as its parliamentary group leader in 2019, making her the first woman to hold the post. On 19 December 2019, she was elected as the Second Vice President of the Federal Council, placing her next in line to assume the rotating council presidency. On 1 July 2020, Eder-Gitschthaler took over as President of the Federal Council.


== References ==


== External links ==
Official Page at Parliament of Austria"
14,"Karoline Edtstadler (German: [kaʁoˈliːnɛ ˈɛt.ʃtadlɐ]; born 28 March 1981) is an Austrian lawyer and politician who has served as minister for the EU and the Constitution at the Austrian Chancellery in the governments of Chancellors Sebastian Kurz, Alexander Schallenberg and Karl Nehammer since 2020. A member of the Austrian People's Party (ÖVP), she previously served as a State Secretary at the Ministry of the Interior from 2017 to 2019 and a Member of the European Parliament (MEP) from 2019 until 2020.


== Early life and career ==
Edtstadler is the daughter of former director of the Salzburg state provincial parliament Karl W. Edtstadler, and was raised in Elixhausen in the Salzburg-Umgebung district. She attended elementary school in Elixhausen and went on to the Salzburg Fine Arts Grammar School. Edtstadler studied law at the University of Salzburg and graduated in 2004 with a magistra degree. Court internships at the Mondsee district court and at the Salzburg Regional Court followed. In 2006 she became a judge's candidate at the higher regional court of Linz and in 2008 she became a judge at the Salzburg regional court.In 2010, Edtstadler passed relatively heavy sentences on two upstanding brothers, who had been charged with injuring a police officer at a demonstration against the asylum policy of minister of the interior Maria Fekter. The higher regional court of Linz reversed the judgements in significant points, as even the public prosecutor considered the sentences to be too heavy. The president of the regional court Hans Rathgeb praised Edtstadler's work at the court: ""She was a very goal-oriented and experienced judge"".In October 2011, Edtstadler moved to Section IV (Criminal Law) in the Ministry of Justice. From 2014, she was a personal expert in the cabinet of Minister of Justice Wolfgang Brandstetter, where she was involved in the reform of the criminal code and of criminal law relating to young offenders. In early 2015, she became Senior Prosecutor at the Vienna Corruption Prosecutor's Office, while she remained assigned to the Ministry of Justice. From May 2016 she was a legal employee at the European Court of Human Rights (ECHR) in Strasbourg.


== Political career ==


=== Career in national politics ===
From 2004 to 2006, Edtstadler served as councilor in Henndorf am Wallersee for the ÖVP.
From 2017 until 2019, Edtstadler served as secretary of state in the Austrian Ministry of the Interior, in the government of Chancellor Sebastian Kurz.


=== Member of the European Parliament, 2019–2020 ===
In the 2019 European Parliament election, Edtstadler was number two on her party's list, following Othmar Karas. As Member of the European Parliament, she served on the Committee on Civil Liberties, Justice and Home Affairs and on the Subcommittee on Human Rights. Within the centre-right European People's Party Group (EPP), she led the ÖVP delegation.


=== Return to national politics ===
Since 2020, Edtstadler has been serving as minister for the EU and the Constitution at the Austrian Chancellery in the government of Chancellor Sebastian Kurz. In addition, she has been co-chairing of the EPP European Affairs Ministers Meeting (alongside Helen McEntee), which gathers the center-right EPP ministers ahead of meetings of the General Affairs Council (GAC).In 2022, United Nations Secretary-General António Guterres appointed Edtstadler to serve on his inaugural Internet Governance Forum (IGF) Leadership Panel.


== Personal life ==
Edtstadler has a son and lives in Salzburg.


== References =="
15,"Maria Theresia Fekter is an Austrian politician (ÖVP) and was the Austrian Minister of Finance between 2011 and 2013. Before that, she was Minister of the Interior.On 27 June 2008, it was announced by her party that she was to be appointed as the new Interior Minister in the Gusenbauer cabinet, following Günther Platter, who became the new Governor of Tyrol. During her career as Interior Minister, she became known as a hardliner, especially when it came to immigration and asylum policies, earning her the unofficial title of an Austrian ""Iron Lady"".
Because her family made a fortune producing gravel Fekter is often referred to as ""Schottermitzi"" (roughly translates to ""Gravel Mary""; 'Mitzi' is the colloquial nickname form of Mary in Viennese dialect).


== Career ==
Doctor of Law, Johannes Kepler University Linz (1979)
Magistra rerum socialium oeconomicarumque, Johannes Kepler University Linz (1982)
Engagement in her parents' gravel pit and carrying business (1982—), managing partner (1986—)
Municipal councillor in Attnang-Puchheim (1986–1990)
Member of the executive committee (Präsidium) of the Österreichischer Wirtschaftsbund (entrepreneurs' organization of the Austrian People's Party) (1990–2002)
State Secretary in the Ministry of Economic Affairs (1990–1994)
Member of the National Council (Parliament) (1994–2007)
Ombudsman (Volksanwältin) (2007–2008)
Federal Minister of the Interior (2008–2011)
Minister of Finance (2011–2013)


== Other activities ==
Salzburg Festival, member of the board of trustees (since 2013)
African Development Bank, member of the board of governors (2011–2013)


== References =="
16,"Monika Forstinger (born 15 July 1963) is an Austrian businesswoman and former politician associated with the Freedom Party of Austria (FPÖ).


== Life ==
Forstinger was born in Schwanenstadt, Upper Austria, in 1963. She studied at the University of Natural Resources and Life Sciences, Vienna (BOKU) and the Johannes Kepler University Linz, graduating in 1988 and finishing a doctorate in 1997. She has one son, born c. 2005.She became Minister for Transport, Innovation and Technology in the first Schüssel government on 11 November 2000. Forstinger was repeatedly criticised in this position, for example for issuing a flawed telephone number regulation which was rescinded almost immediately. She resigned in February 2002 after 15 months in office.After leaving politics, Forstinger went to study in France and founded a consultancy firm specialising in risk management. This caused controversy in 2003 when her company received a contract from the state-owned Austrian Federal Railways (ÖBB). In February 2018 she was appointed to the ÖBB supervisory board. In the same year, she became a member of the university council at the BOKU.


== References ==


== External links ==
""Dipl.-Ing. Dr. Monika Forstinger"". parlament.gv.at (in German). Austrian Parliament."
17,"Elisabeth Gehrer (née Pokorny, born 11 May 1942) is an Austrian politician for the Austrian People's Party (ÖVP). From May 1995 until January 2007, Gehrer was Federal Minister of Education, Science and Culture, at first in grand coalition governments headed by Franz Vranitzky and Viktor Klima (both SPÖ), and from 2000 onwards in Wolfgang Schüssel's coalition government. From 1999 to 2007, she also served as vice party chairperson of the Austrian People's Party (ÖVP).


== Biography ==
The daughter of a self-employed businessman and a kindergarten teacher, she was brought up and educated in Innsbruck. She became a primary school teacher in 1961 and continued teaching in small country schools, until 1966.In 1964, she married Fritz Gehrer, moved to Bregenz, Vorarlberg and became a homemaker. The couple has three adult sons, one of whom, Stefan, is a journalist for the ORF.Gehrer started her political career in 1980 as a regional politician in Bregenz. She remained in Vorarlberg in various political positions until her appointment as Federal Minister in 1995.
Gehrer announced her decision to step down in the wake of the Austrian legislative election, 2006, and was succeeded on 11 January 2007 by Claudia Schmied and Johannes Hahn.
Gehrer was a Scout leader, National Commissioner for Rangers of Pfadfinder und Pfadfinderinnen Österreichs and teamed Woodbadge trainings (i.e.1976 in Wassergspreng).


== See also ==
Education in Austria


== References =="
18,"Leonore Gewessler (German: [lɛoˈnoːʁε ˈgeːvεslɐ]; born 15 September 1977) is an Austrian Green politician serving as Minister for Climate Action, Environment, Energy, Mobility, Innovation and Technology in the government of Chancellor Karl Nehammer.


== Early life ==


=== Education ===
Gewessler earned a political science degree (BA) from the University of Vienna.


== Political career ==
From 2014 until 2019, Gewessler served as head of Austria's largest environmental charity and lobbying group Global 2000. In this capacity, she championed a popular campaign against the expansion of the ageing Soviet-era Mochovce nuclear power plant in neighbouring Slovakia, just 100 km from the Austrian border.In the negotiations on a coalition government following the 2019 national elections, Gewessler was a member of the Green Party's delegation.


== References ==


== External links ==
Leonore Gewessler on the Austrian Parliament website"
19,"Eva Glawischnig-Piesczek (born 28 February 1969 as Eva Glawischnig) is an Austrian politician of the Austrian Green Party, and its federal spokeswoman from 2008 until 2017. She was the plaintiff in the landmark case Eva Glawishnig-Piesczek v. Facebook Ireland, in which she sued Facebook for defamation to compel the social media company to globally censor the ""defamatory and all equivalent"" posts.


== Background ==
Born in Villach, Carinthia, Glawischnig attended gymnasium in Spittal an der Drau and took her Matura exams there. She then studied law at the University of Graz, Styria, graduating in 1993 (Magistra) and 1999 (doctorate) respectively.Glawischnig worked as a legal adviser for Global 2000 from 1992 until 1996. In that year she embarked on a career in regional politics for the Green Party of Vienna, later moving on to the federal level. She has been a member of the National Council of Austria (Nationalrat) since 1999 and became vice-chairperson of the Austrian Green Party in 2002. Glawischnig has been a persistent critic of the Austrian government headed by Wolfgang Schüssel. On 30 October 2006 she became Third Speaker of the Austrian Parliament, as the first representative of the Greens in this office.On 3 October 2008, Glawischnig became the Greens' federal spokeswoman following Alexander Van der Bellen's resignation.On 18 May 2017, she resigned as the Greens' federal spokeswoman and retired from politics, citing personal reasons.She has been working for an international gambling company Novomatic since 2018.


=== Lawsuit against Facebook ===
In 2016, Glawischnig requested Facebook to remove a post criticizing her in sharp terms. After Facebook failed to remove the post, she brought a claim in Vienna court, Eva Glawischnig-Pieszcek v. Facebook Ireland. The case became an important legal question of whether a court in the European Union could compel a social media company to globally censor a user's posting, even for viewers outside of the EU's jurisdiction. On 3 October 2019 the Court of Justice for the European Union decided that an Austrian court could indeed order the global removal of the offensive posts, and all future posts similar to them that are designed to defame Glawishnig. Supporters of the Court's landmark ruling believe it empowers online users to defend themselves against defamation or other online abuse, while critics have called out the possibility of mass censorship due to the challenging nature of online rule enforcement. 


== Notes and references ==


== External links ==
Official website 
 Media related to Eva Glawischnig-Piesczek at Wikimedia Commons"
20,"Silvia Grünberger (born 3 July 1981) is a former Austrian politician. She was a member of the National Council from 2002 to 2013.


== References =="
21,"Valerie Hackl (born 29 August 1982) is an Austrian businesswoman and the managing director of Austro Control. In 2019, she briefly served as minister of infrastructure.


== References =="
22,"Theresia Haidlmayr (9 September 1955 – 13 June 2022) was an Austrian politician. She was spokesperson for The Greens – The Green Alternative until 2008.


== Life ==
Haidlmayr was born in Steyr in 1955. She rose to prominence as the spokesperson of the Green Party in Austria from 1994 to 2008, serving in the National Council. However, in the next election in 2008, she decided not to be a candidate due to her dissatisfaction with the low priority her party placed on issues concerning disabled people. Haidlmayr had Osteogenesis imperfecta, a condition that caused her to use a wheelchair. The decision to not seek re-election was made by Haidlmayr herself.


== Honours ==
Haidlmayr was awarded the Grand Decoration of Honour in Silver for Services to the Republic of Austria in 2004.


== References =="
23,"Sonja Hammerschmid (born Sonja Maria Theresia Mörwald on June 24, 1968 in Steyr) is an Austrian molecular biologist and politician.
She was Rector of the University of Veterinary Medicine Vienna from 2010 to 2016 and minister of education in the Kern government from 2016 to 2017.
Since 2017, Hammerschmid has been a member of the Austrian National Council.
Hammerschmid is a member of the Social Democratic Party.


== Early life ==
Sonja Hammerschmid was born as Sonja Maria Theresia Mörwald on June 24, 1968 in Steyr.Hammerschmid grew up in Baumgartenberg, a rural town of about 1200 people. She attended primary school from 1974 to 1978 and hauptschule from 1978 to 1982.
She completed her secondary education at the gymnasium in Perg, graduating in 1986.Hammerschmid's parents were working class. 
The region, bordering the Iron Curtain, was economically underprivileged; a large agricultural sector was trying to eke a living out of  some of the poorest soils in the country.
Hammerschmid's school career was highly respectable given her background and locale; educational mobility was low in small, disadvantaged rural towns in 1970s Austria. Hammerschmid freely admits to being a statistical outlier.


== Career ==
Starting in 1986, Hammerschmid studied genetics and tumor biology at the University of Vienna, receiving a master's degree in 1992 and a PhD in 1995.
From 1990 to 1995, she was also working as a research associate at Boehringer Ingelheim.Hammerschmid followed her dissertation with two years of postdoctoral work at the Vienna Biocenter.
In 1998, Hammerschmid abandoned her science career, frustrated with the grind of lab work and the unpredictability of the race to publication.
After a few months as a product manager at Margaritella-Biotrade, she became the executive manager of the Innovation Agency (German: Innovationsagentur GmbH), a government agency for the promotion of young entrepreneurs, where she spent her time organizing competitions and subsidy programs and generally linking up innovative startups with investor advice and money.
When the Innovation Agency was absorbed into the Austria Wirtschaftsservice Gesellschaft in 2003, Hammerschmid became the new institution's Head of Technology and Innovation.Hammerschmid also served on numerous supervisory boards and committees.In September 2010, Hammerschmid was appointed rector of the University of Veterinary Medicine Vienna, originally for a term of four years. She easily won reappointment for a second term.
In December 2015, Hammerschmid was elected president of Universities Austria (Österreichische Universitätenkonferenz or Uniko), the lobbying federation of Austria's public universities. Inaugurated in January 2016, she was the first woman to lead the organization. Hammerschmid resigned from both positions upon entering politics in 2016.


== Political career ==
Hammerschmid considered going into formal politics for most of her adult life and systematically built a strong network of useful connections.
Even so, she did not join any political party.
Her working-class family background, which she says kept strongly influencing her ideologically, would have naturally positioned her left of center.
In matters of education and science policy, however, she felt more closely aligned with the Austrian People's Party, a party philosophically conservative and sociologically middle to upper class.
She is also broadly sympathetic to classical liberalism, stating in an interview that some of the platform planks of NEOS would resonate with her.
Hammerschmid is not easily pigeonholed into any of the three or four traditional Austrian camps.In 2014, the People's Party briefly considered tapping her for state secretary of scientific research.In May 2016, Christian Kern took over as the head of the exhausted and beleaguered coalition of Social Democrats and People's Party in the middle of an election cycle.
Kern immediately reshuffled his cabinet, trying to revitalize the coalition through four new appointments.
Besides trying to project optimism and present fresh faces, Kern was also attempting to hint at having a certain technocratic streak.
Kern's ideal candidate would not have a strong party power base, so as not to be able to prevent him from consolidating power, but would nevertheless be able to serve as a token of good faith to one of the party's for major factions.
Hammerschmid fit the bill and was a good choice as Kern's message to the right wing of the party.
On May 18, 2016, Hammerschmid was appointed head of the Ministry of Education and Women's Affairs.
A subsequent reapportionment of ministerial responsibilities − a maneuver regularly undertaken by new parliamentary majority leaders − moved women's affairs into the purview of the Ministry of Health.
On July 1, 2016, Hammerschmid received her new permanent appointment as the minister of education.Hammerschmid joined the Social Democratic Party just in time for her official introduction to the rank and file.Sonja Hammerschmid's term as a minister ended when the coalition of Social Democrats and People's Party broke down following the October 2017 election. Taking office on December 18, 2017, the right-of-center first Kurz government replaced Hammerschmid with Heinz Faßmann. The election had landed Hammerschmid with a seat on the National Council, however. Since November 9, 2017, Hammerschmid has been serving in the national legislature.


== Selected publications ==
Hammerschmid, Sonja (1991). Transkriptionsmodulationssystem am Beispiel des Apolipoprotein Al Gens (MSc). University of Vienna.
— (1995). cDNA-Klonierung und Charakterisierung des humanen Apolipoprotein B mRNA Editingenzyms (PhD). University of Vienna.
— (2010). ""Gender-Strategie – Inputs seitens einer Förderagentur"". In Floimair, Roland; et al. (eds.). Chancengleichheit als Standortfaktor. Enquete des Salzburger Landtages am 8. April 2010. Präsentation des Leitbildes für Chancengleichheit von Frauen und Männern. Salzburg: Landespressebüro Land Salzburg. pp. 26–43. ISBN 978-3-85015-251-8.
— (2013). ""Kreative Kombination erzeugt Mehrwert"". In Lackner; Erna (eds.). Phantasie in Kultur und Wirtschaft. Studien-Verlag. pp. 121–124. ISBN 978-3-7065-5319-3.
— (2015). ""Veterinärmedizinische Universität Wien (Vetmeduni Vienna)"". In Ehalt, Hubert Christian; et al. (eds.). Wissens- und Universitätsstadt Wien. Eine Entwicklungsgeschichte seit 1945. Göttingen: V&R unipress/Vienna University Press. pp. 367−368. ISBN 978-3-8471-0399-8.


== References ==


== External links ==
Mag. Dr. Sonja Hammerschmid – Parliamentary homepage
Dr.in Sonja Hammerschmid – Hammerschmid CV on Meine Abgeordneten"
24,"Beate Hartinger-Klein (born Beate Hartinger; 9 September 1959) is an Austrian healthcare and insurance manager, educator and politician. A member of the Freedom Party of Austria (FPÖ), she was a member of the National Council from October 1999 to December 2002. From December 2017 to May 2019, Hartinger-Klein served as minister of social affairs in the first government of Chancellor Sebastian Kurz.


== Life ==
Beate Hartinger-Klein, née Hartinger, was born on 9 September 1959 in Graz.She attended primary school from 1966 to 1970 and middle school from 1970 to 1974. She completed her secondary education at a commercial academy (German: Handelsakademie), a type of five-year high school similar to a gymnasium but with added business-oriented vocational training. After graduating from the academy, she studied social and economic science at the University of Graz, obtaining a master's degree in 1984.From 1984 to 1985, Hartinger-Klein was employed as a case manager in a tax accountancy firm.
In January 1986 she took on a management role with Kastner & Öhler, a then-major department store chain.
A few months later, in July 1987, she moved into the public healthcare and social insurance sector, starting as an internal auditor for Styria's public hospital operator. By 1990, she had risen to Head of Controlling.
She also lectured at the Vienna University of Economics and Business, the University of Vienna, the UAS Krems, the UAS St. Pölten, and her alma mater, the University of Graz.Starting in August 2003, Hartinger-Klein served as the general manager of the Main Association of Austrian Social Security Institutions (German: Hauptverband der Sozialversicherungsträger), an umbrella organization supervising and representing all of Austria's public insurers. In 2005, she was promoted to deputy general secretary.
Her responsibilities included managing the multitude of contractual relationships the Association maintained with physicians, pharmacies, and the pharmaceutical industry. She was also in charge of matters of employment law, job training, institutional self-governance, and the sector's international relationships.
On 1 April 2009 she became the general manager of healthcare consulting for Deloitte Austria.
Hartinger-Klein and Deloitte quickly became ""disenchanted"" with each other, according to one acquaintance, due to pressure from high expectations and ill-defined responsibilities.
In April 2011, Hartinger-Klein left Deloitte and established her own business advisory agency, the Hartinger-Klein Consulting GmbH.Hartinger-Klein is married and a mother of two.


== Political career ==
Hartinger-Klein joined the Freedom Party in 1996.
The same year, she was appointed to the board of the Styrian regional healthcare fund (Gesundsheitsfonds Steiermark).
She successfully ran for a seat in the Styrian regional diet (Landtag) in 1995, serving from January 1996 to October 1999, and for a seat on the National Council in 1999, serving from October of that year to December 2002.Disillusioned with Jörg Haider after the Knittelfeld putsch in September 2002, Hartinger-Klein left the party, and politics in general. She declined to stand for the November 2002 National Council elections. Her seat on the Styrian healthcare fund board expired in 2003.
She later rejoined the Freedom Party, but not until 2013.On 18 December 2017 she was appointed to lead the Ministry of Labor, Social Affairs and Consumer Protection as well as the Ministry of Health and Women's Affairs as a member of the first Kurz government. Her dual role was due to the fact that the government was planning to merge the two ministries. These plans having been implemented, Hartinger-Klein was appointed minister of labor, social affairs, health and consumer protection on 8 January 2018.


== Controversies ==


=== Smoking bans ===
At the time the first Kurz government took office, Austria had enacted but not yet implemented a general smoking ban in bars and restaurants. The smoking ban had been passed in 2015 and was meant to go into full effect in May 2018.Heinz-Christian Strache, the populist Freedom Party leader and newly minted vice chancellor, opposed the ban. He demanded and eventually won the People's Party support in overturning the law.
Hartinger-Klein initially stated that she was ""not happy"" about the development but would grudgingly support it out of respect for democracy.
She later amended her position and declared herself opposed to smoking bans as a matter of principle. It was wrong, she asserted in a debate in the National Council, to forbid hosts from being hospitable, and unhelpful to subject minority rights to majority decisions.
Commentators, including right-of-center editorialists sympathetic to the cabinet as a whole, ridiculed her change of mind.
Hartinger-Klein's surprise about-face had come well after Strache's initiative had turned out to be broadly unpopular.


=== Social insurance reform ===
The first Kurz government planned a comprehensive reform of Austria's healthcare system.
The government's primary target is the Austrian Social Insurance for Occupational Risks (Allgemeine Unfallversicherungsanstalt or AUVA), an arm of Austria's system of social insurance that insures workers, students, and small business owners against workplace accidents and occupational disease.
The government's official agenda demands that the AUVA cut its yearly spending by EUR 500 million. 
The cuts are alleged to be necessary to compensate for a planned reduction in insurance premiums: companies currently have to contribute 1.3 percent of each worker's salary to the AUVA; the government intends to decrease these payments to 0.8 percent.
The cabinet expects the AUVA to draw up appropriate measures by the end of the year and threatens to dissolve the institution should it fail to comply, distributing its responsibilities across other public insurers.The opposition and the medical establishment are harshly critical of the ultimatum.
Thomas Szekeres, the head of the Medical Council (Ärztekammer), the state medical board of registration and professional association of Austrian physicians, has condemned Hartinger-Klein's hard line. According to Szekeres, Austrian trauma care and rehabilitation facilities are ""excellent"" and the AUVA is an ""indispensable"" part of the system.
Employees of the Lorenz Böhler hospital in Vienna convened a protest meeting registering their opposition to Hartinger-Klein.Opposition politicians such as Josef Muchitsch, an employees' representative and member of parliament for the Social Democratic Party, have accused Hartinger-Klein of being biased against the AUVA.
In 2015, Hartinger-Klein had applied for the position of director general of the AUVA but had lost out to another candidate.
Hartinger-Klein alleged gender discrimination and complained to the relevant equal opportunities committee.
When the committee did not find in her favor, she filed suit, losing first the original trial and then two appeals. Her final appeal to the Supreme Court was still pending when she was appointed Minister of Health, although she did subsequently drop the case in January 2018.Max Lercher, General Secretary of the Social Democratic Party, described Hartinger-Klein's attacks on the AUVA as a ""war"" and a ""personal vendetta"".


== Personal beliefs ==
Hartinger-Klein is not considered an ideological hardliner. In a 2018 interview, she claimed to have only joined the party in order to be able to accept a position as a speaker on social affairs in the Styrian diet, a job she felt compelled to take out of a sense of social responsibility. She in fact left the party for nearly eleven years between 2002 and 2013. Her political affiliation does not reflect family background. Her father identified as a conservative − an unusual and conspicuous posture for an Austrian railway worker at the time − and her mother was a Social Democrat.On her official ministry web page and in her official CV, Hartinger-Klein professes to be a member of the Austrian Evangelical Church, a mainstream but minority congregation in Catholic-dominated Austria. Austrian politicians are not usually expected to stress their congregational affiliations in this way. Hartinger-Klein's husband, Andreas Klein, is an Evangelical theologist, ethicist, lecturer with the University of Vienna, and ethics consultant.


== References ==


== External links ==
Mag. Beate Hartinger-Klein − Parliament homepage
Ministerin Beate Hartinger-Klein − Ministry homepage
Mag.a Beate Hartinger-Klein − Hartinger-Klein CV on Meine Abgeordneten"
25,"Hilde Hawlicek (born 14 April 1942) is an Austrian retired politician and former Minister for Education, Arts and Sport.


== Early life ==
Hawlicek was born and grew up in Vienna. She was a member of the Socialist Youth Austria and Socialist Students of Austria. She studied German and history at the University of Vienna for a teaching degree, which she completed in 1965, followed by political science studies at Vienna's Ford-Institut.


== Career ==
Hawlicek later worked as a schoolteacher until she was appointed to the Federal Council for the Social Democratic Party of Austria (SPÖ) in 1971. In 1976 she left the Federal Council to become a member of the National Council, and in 1979 became part of the Austrian delegation to the Parliamentary Assembly of the Council of Europe. In 1987 she became Minister for Education, Arts and Sport in the second cabinet of Franz Vranitzky.During her time in office, Hawlicek worked on reducing gender inequality in the education system by opening up all types of schools for girls. She introduced better sex education and other reforms to the curriculum. She enabled the creation of bilingual schools for Carinthian Slovenes. Hawlicek also defended the play Heldenplatz, which was controversial for its portrayal of nationalism and antisemitism in Austria, against censorship. She left the ministry after the 1990 election and resumed her parliamentary activities.When Austria joined the European Union in 1995, Hawlicek was one of the 21 appointed Austrian delegates in the European Parliament. In the following 1996 election, she became an elected member of the European Parliament until 1999.


== Awards and honours ==
 Grand Decoration of Honour in Silver for Services to the Republic of Austria (1980)
 Grand Decoration of Honour in Gold with Sash for Services to the Republic of Austria (1990)
Einspieler Prize (2007)
Grand Order of Merit of South Tyrol (2010)
 Austrian Cross of Honour for Science and Art, First Class (2012)


== References ==


== External links ==
Hilde Hawlicek at IMDb
""Dr. Hilde Hawlicek"". parlament.gv.at (in German). Austrian Parliament. Retrieved 25 October 2019."
